CABra dataset - Additional attributes
 
longitude_centroid and latitude_centroid are the XY coordinates of the catchment centroid.
dist_coast is the distance to the nearest coast.
 
  CABra ID	     ANA ID	   longitude_centroid	    latitude_centroid	 dist_coast
          	           	                   dd	                   dd	         km
       272	   56539000	              -42.956	              -20.484	     217.54
       273	   56570000	              -42.260	              -19.841	     219.33
       274	   56610000	              -43.289	              -20.064	     272.04
       275	   56640000	              -43.548	              -20.083	     297.62
       276	   56775000	              -43.352	              -19.037	     299.86
       277	   56800000	              -43.189	              -18.642	     322.42
       278	   56825000	              -43.146	              -19.079	     245.53
       279	   56845000	              -42.858	              -18.733	     288.75
       280	   56846000	              -42.702	              -18.810	     254.22
       281	   56850000	              -42.913	              -19.752	     224.41
       282	   56860000	              -42.944	              -18.335	     303.95
       283	   56870000	              -42.523	              -18.070	     290.80
       284	   56891900	              -42.465	              -18.245	     229.64
       285	   56920000	              -42.738	              -19.385	     191.84
       286	   56940002	              -41.937	              -19.459	     176.43
       287	   56976000	              -41.979	              -20.149	     158.32
       288	   56983000	              -41.770	              -20.258	     132.58
       289	   56990000	              -41.664	              -19.875	     117.93
       290	   56990990	              -41.139	              -20.186	      80.94
       291	   56991500	              -41.174	              -20.090	      81.23
       292	   56992000	              -41.130	              -19.968	     102.21
       293	   56993551	              -40.867	              -19.819	      75.54
       294	   56995500	              -40.787	              -19.190	      79.38
       295	   57130000	              -40.754	              -20.091	      22.41
       296	   57170000	              -40.885	              -20.297	      29.30
       297	   57250000	              -40.904	              -20.518	      32.95
       298	   57300000	              -40.978	              -20.752	      15.95
       299	   57320000	              -40.875	              -20.731	      12.10
       300	   57350000	              -41.392	              -20.310	      87.78
       301	   57360000	              -41.558	              -20.284	      99.50
       302	   57370000	              -41.555	              -20.315	      91.86
       303	   57400000	              -41.503	              -20.346	      86.89
       304	   57420000	              -41.719	              -20.418	     100.24
       305	   57450000	              -41.548	              -20.472	      72.25
       306	   57490000	              -41.218	              -20.428	      54.51
       307	   57550000	              -41.174	              -20.486	      46.63
       308	   57580000	              -41.358	              -20.566	      15.88
       309	   57700000	              -41.943	              -20.548	     118.00
       310	   57720000	              -41.826	              -20.597	     111.79
       311	   57740000	              -41.700	              -20.661	      91.72
       312	   57770000	              -41.629	              -20.958	      76.09
       313	   57830000	              -41.754	              -20.832	      52.39
       314	   57930000	              -41.675	              -20.900	      36.25
       315	   58030000	              -44.868	              -22.879	      37.43
       316	   58060000	              -45.024	              -23.233	      13.34
       317	   58099000	              -45.272	              -23.219	      43.43
       318	   58142200	              -45.825	              -22.966	      70.66
       319	   58183000	              -45.571	              -23.187	      70.52
       320	   58204000	              -45.545	              -23.152	      59.17
       321	   58220000	              -44.883	              -22.753	      51.22
       322	   58258000	              -44.466	              -22.349	      60.00
       323	   58270000	              -44.125	              -22.375	      50.68
       324	   58380001	              -44.995	              -22.878	      60.54
       325	   58405000	              -43.142	              -22.439	      37.98
       326	   58420000	              -42.880	              -22.325	      54.95
       327	   58425000	              -42.881	              -22.290	      53.73
       328	   58434000	              -43.265	              -22.364	      42.46
       329	   58440000	              -43.035	              -22.320	      59.67
       330	   58470000	              -43.630	              -21.540	     128.36
       331	   58480500	              -43.514	              -21.621	     103.07
       332	   58500000	              -43.966	              -21.817	     116.57
       333	   58516500	              -43.763	              -21.807	      98.22
       334	   58520000	              -43.641	              -21.765	      84.36
       335	   58525000	              -44.605	              -22.330	      68.51
       336	   58530000	              -44.530	              -22.288	      72.84
       337	   58535000	              -44.474	              -22.273	      75.95
       338	   58542000	              -44.192	              -22.122	      86.68
       339	   58550001	              -44.170	              -22.190	      90.43
       340	   58560000	              -43.798	              -22.306	      74.18
       341	   58573000	              -43.877	              -22.257	      82.70
       342	   58585000	              -43.996	              -22.171	      79.76
       343	   58610000	              -43.070	              -21.767	      86.53
       344	   58630002	              -44.456	              -22.562	      71.47
       345	   58645000	              -42.676	              -22.143	      78.84
       346	   58658000	              -42.737	              -21.726	     103.03
       347	   58670002	              -42.545	              -21.629	      97.96
       348	   58710000	              -43.409	              -21.246	     153.77
       349	   58720000	              -43.411	              -21.382	     148.46
       350	   58730001	              -43.332	              -21.275	     147.32
       351	   58735000	              -43.235	              -21.274	     154.16
       352	   58755000	              -43.424	              -21.498	     133.90
       353	   58765001	              -43.221	              -21.515	     136.57
       354	   58770000	              -43.104	              -21.310	     144.68
       355	   58795000	              -43.972	              -22.256	      80.74
       356	   58825000	              -42.655	              -22.300	      69.51
       357	   58827000	              -42.581	              -22.274	      62.92
       358	   58850000	              -42.313	              -22.135	      64.24
       359	   58870000	              -42.295	              -21.955	      69.13
       360	   58874000	              -42.282	              -22.045	      73.50
       361	   58910000	              -42.574	              -21.030	     158.89
       362	   58916000	              -42.344	              -20.687	     149.91
       363	   58917000	              -42.352	              -20.749	     148.95
       364	   58920000	              -42.411	              -21.002	     125.70
       365	   58930000	              -42.151	              -20.621	     124.88
       366	   58940000	              -42.230	              -20.965	      92.08
       367	   58960000	              -42.145	              -21.042	      56.72
       368	   58974000	              -43.550	              -22.062	      28.73
       369	   59120000	              -42.514	              -22.412	      53.70
       370	   59125000	              -42.481	              -22.393	      46.09
       371	   59135000	              -42.401	              -22.410	      39.15
       372	   59240000	              -42.637	              -22.482	      31.47
       373	   59355000	              -44.630	              -22.726	      30.90
       374	   59370000	              -44.626	              -22.876	       7.79
       375	   59380000	              -44.820	              -23.205	       5.60
       376	   60010000	              -46.529	              -18.999	     509.92
       377	   60011000	              -46.512	              -18.927	     532.90
       378	   60040000	              -47.456	              -17.027	     634.97
       379	   60100000	              -46.927	              -18.909	     522.62
       380	   60110000	              -47.186	              -18.701	     583.32
       381	   60130000	              -47.385	              -18.868	     555.46
       382	   60145000	              -47.368	              -18.957	     539.45
       383	   60150000	              -47.571	              -18.895	     574.90
       384	   60220000	              -46.797	              -20.014	     417.67
       385	   60250000	              -46.581	              -19.739	     441.29
       386	   60265000	              -46.306	              -19.591	     444.28
       387	   60381000	              -48.038	              -19.200	     575.34
       388	   60432000	              -48.910	              -16.294	     868.87
       389	   60615000	              -48.675	              -18.767	     627.48
       390	   60635000	              -49.530	              -16.236	     898.30
       391	   60640000	              -49.382	              -16.346	     862.59
       392	   60642000	              -49.105	              -16.416	     859.28
       393	   60650000	              -49.300	              -16.404	     852.55
       394	   60653000	              -48.925	              -16.431	     858.22
       395	   60654000	              -48.959	              -16.648	     824.86
       396	   60665000	              -49.336	              -17.027	     795.85
       397	   60680000	              -49.270	              -17.092	     699.48
       398	   60715000	              -49.721	              -16.616	     827.66
       399	   60750000	              -50.210	              -16.674	     858.09
       400	   60765000	              -50.134	              -17.059	     789.28
       401	   60772000	              -49.937	              -17.073	     768.55
       402	   60774000	              -51.413	              -17.295	     873.37
       403	   60778000	              -51.174	              -17.539	     858.65
       404	   60781000	              -51.081	              -17.279	     854.42
       405	   60785005	              -51.118	              -17.662	     846.54
       406	   60790000	              -50.995	              -17.345	     827.19
       407	   60798000	              -50.897	              -17.506	     774.37
       408	   60810000	              -49.807	              -18.015	     745.28
       409	   60845000	              -48.685	              -19.133	     634.08
       410	   60850000	              -48.741	              -19.454	     579.51
       411	   60855000	              -49.070	              -19.344	     638.31
       412	   60870000	              -50.806	              -18.366	     736.25
       413	   60895000	              -51.581	              -17.599	     846.90
       414	   60910000	              -52.663	              -17.445	     948.19
       415	   60925001	              -50.183	              -19.370	     681.26
       416	   60930000	              -52.915	              -18.216	     864.01
       417	   60940000	              -52.769	              -18.209	     832.19
       418	   60950000	              -52.179	              -18.523	     721.15
       419	   60970000	              -52.269	              -18.803	     741.84
       420	   61009000	              -44.372	              -22.107	     109.97
       421	   61012000	              -44.174	              -21.777	     159.93
       422	   61014000	              -44.672	              -22.272	      88.77
       423	   61024000	              -44.645	              -22.174	     108.25
       424	   61031000	              -44.489	              -22.069	     103.88
       425	   61045000	              -44.385	              -21.923	     131.56
       426	   61052000	              -44.285	              -21.860	     132.41
       427	   61060000	              -44.484	              -21.967	     137.84
       428	   61075000	              -44.773	              -21.732	     168.45
       429	   61078000	              -44.776	              -21.615	     186.63
       430	   61085000	              -43.690	              -21.281	     173.38
       431	   61090000	              -43.787	              -21.302	     189.56
       432	   61100000	              -43.903	              -21.499	     164.21
       433	   61105000	              -44.019	              -21.364	     196.04
       434	   61107000	              -43.901	              -21.262	     201.53
       435	   61115000	              -43.954	              -20.983	     209.50
       436	   61122000	              -44.258	              -21.282	     193.11
       437	   61135000	              -44.136	              -21.138	     203.30
       438	   61173000	              -45.232	              -21.447	     195.12
       439	   61267000	              -45.239	              -22.527	      88.21
       440	   61271000	              -45.413	              -22.588	     103.32
       441	   61295000	              -45.628	              -22.562	     117.57
       442	   61460000	              -45.012	              -22.220	     136.01
       443	   61473000	              -44.779	              -22.047	     120.46
       444	   61500000	              -45.299	              -22.092	     145.31
       445	   61510000	              -45.037	              -22.099	     161.85
       446	   61520000	              -45.038	              -21.707	     164.98
       447	   61537000	              -45.110	              -21.977	     181.74
       448	   61610000	              -46.500	              -21.292	     264.39
       449	   61700000	              -46.882	              -20.953	     334.28
       450	   61770000	              -46.918	              -21.125	     312.01
       451	   61800500	              -46.291	              -22.082	     200.90
       452	   61815000	              -46.669	              -21.267	     287.59
       453	   61826000	              -46.837	              -21.309	     279.95
       454	   61830000	              -46.804	              -21.614	     306.05
       455	   61861000	              -46.193	              -22.379	     167.17
       456	   61865000	              -46.311	              -22.346	     179.99
       457	   61879000	              -46.420	              -22.563	     153.14
       458	   61886000	              -46.583	              -22.394	     191.58
       459	   61902000	              -46.876	              -22.228	     252.10
       460	   61912000	              -47.095	              -22.105	     312.82
       461	   61915000	              -47.319	              -21.945	     367.62
       462	   62395000	              -46.857	              -23.199	     105.96
       463	   62600000	              -46.269	              -22.832	     113.46
       464	   62615000	              -46.383	              -22.833	     143.71
       465	   62625000	              -46.546	              -22.724	     136.15
       466	   62665000	              -46.197	              -22.967	      90.89
       467	   62670000	              -46.310	              -23.063	      87.61
       468	   62760130	              -47.877	              -22.250	     245.69
       469	   63350100	              -53.340	              -19.737	     691.37
       470	   63900001	              -54.089	              -20.163	     746.18
       471	   63955000	              -54.018	              -21.149	     605.12
       472	   64065000	              -47.801	              -23.804	     132.10
       473	   64360000	              -49.962	              -24.104	     214.82
       474	   64362000	              -50.025	              -23.860	     265.70
       475	   64380000	              -50.264	              -24.036	     235.96
       476	   64382000	              -50.345	              -23.823	     277.40
       477	   64442800	              -50.616	              -25.361	     180.28
       478	   64447000	              -50.368	              -25.269	     172.05
       479	   64465000	              -50.359	              -25.111	     192.62
       480	   64501000	              -50.441	              -24.683	     291.67
       481	   64507000	              -50.530	              -24.515	     325.80
       482	   64508500	              -50.663	              -23.422	     318.81
       483	   64550000	              -51.792	              -23.212	     437.77
       484	   64613000	              -54.786	              -21.316	     711.01
       485	   64617000	              -54.740	              -21.899	     588.34
       486	   64620000	              -50.977	              -25.391	     222.18
       487	   64625000	              -51.018	              -25.144	     248.99
       488	   64645000	              -51.275	              -24.932	     293.39
       489	   64652000	              -51.135	              -24.288	     309.69
       490	   64655000	              -51.272	              -24.718	     325.60
       491	   64659000	              -52.011	              -24.409	     356.54
       492	   64673000	              -52.347	              -24.120	     388.41
       493	   64675002	              -51.568	              -24.423	     389.32
       494	   64682000	              -52.724	              -23.670	     445.38
       495	   64685000	              -51.729	              -24.265	     457.17
       496	   64693000	              -51.940	              -24.100	     522.06
       497	   64715001	              -55.095	              -22.883	     647.60
       498	   64771500	              -52.262	              -25.045	     409.00
       499	   64773000	              -52.095	              -24.783	     366.46
       500	   64775000	              -52.285	              -24.748	     405.14
       501	   64785000	              -52.606	              -24.435	     429.22
       502	   64795000	              -52.536	              -24.844	     451.48
       503	   64799500	              -52.604	              -24.798	     459.34
       504	   64810000	              -52.803	              -24.011	     472.10
       505	   64815000	              -52.945	              -23.981	     482.70
       506	   64820000	              -52.710	              -24.604	     480.72
       507	   64830000	              -52.847	              -24.572	     522.16
       508	   64843000	              -50.525	              -20.943	     578.08
       509	   65010000	              -49.059	              -25.567	      42.17
       510	   65015400	              -49.113	              -25.648	      52.01
       511	   65025000	              -49.240	              -25.537	      80.06
       512	   65027000	              -49.490	              -25.472	      86.80
       513	   65094500	              -49.463	              -26.273	      83.51
       514	   65095000	              -49.462	              -26.274	      81.00
       515	   65135000	              -49.243	              -25.884	      61.56
       516	   65136550	              -49.313	              -25.891	      75.79
       517	   65220000	              -49.885	              -25.936	     179.48
       518	   65310000	              -50.086	              -26.039	     227.88
       519	   65365000	              -51.186	              -26.287	     242.28
       520	   65925000	              -51.953	              -26.432	     349.22
       521	   65945000	              -52.804	              -26.223	     400.54
       522	   65948000	              -53.056	              -26.275	     422.17
       523	   65960000	              -52.565	              -26.211	     415.13
       524	   65979000	              -53.436	              -25.172	     478.95
       525	   66260001	              -55.824	              -15.003	    1323.59
       526	   67100000	              -57.679	              -18.422	    1017.92
       527	   70100000	              -49.653	              -28.272	      76.12
       528	   70200000	              -49.885	              -28.463	     105.59
       529	   70300000	              -49.856	              -28.090	     116.05
       530	   70500000	              -50.288	              -28.067	     136.63
       531	   71200000	              -49.592	              -27.977	     106.65
       532	   71250000	              -49.468	              -27.852	      92.98
       533	   71300000	              -49.592	              -27.895	     117.71
